site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,org_thick,source
GOSL-T1-100,09/25/2005,63.91,-151.9,44.0,1,44.0,unknown,295.0,278.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T2-075,09/23/2005,63.91,-151.91,62.0,1,62.0,unknown,280.0,142.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-E1,09/22/2005,63.91,-151.9,80.0,1,80.0,unknown,337.0,160.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-E2,09/25/2005,63.91,-151.89,72.0,1,72.0,unknown,423.0,72.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T1-015,08/16/2014,63.91,-151.9,40.0,1,40.0,unknown,302.0,166.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T1-044,09/25/2005,63.91,-151.9,43.0,1,43.0,unknown,201.0,168.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T1-040-ST,09/25/2005,63.91,-151.9,49.0,1,49.0,unknown,167.0,167.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T2-125-5S,08/14/2014,63.91,-151.91,45.0,1,45.0,unknown,210.0,110.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T1-100,08/16/2014,63.91,-151.9,39.0,1,39.0,unknown,,,Jorgenson_Kanevskiy_2022_Gosling
Gosl-T2-G1,09/23/2021,63.91,-151.91,46.0,1,46.0,unknown,,,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T2-075,08/14/2014,63.91,-151.91,56.0,1,56.0,unknown,,,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T1-044,08/16/2014,63.91,-151.9,46.0,1,46.0,unknown,,,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T2-187,09/24/2005,63.91,-151.91,61.0,1,61.0,unknown,262.0,205.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T2-014,09/24/2005,63.91,-151.91,257.0,1,257.0,unknown,27.0,,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T2-090,08/14/2014,63.91,-151.91,43.0,1,43.0,unknown,220.0,118.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T1-049,08/16/2014,63.91,-151.9,255.0,0,,unknown,40.0,,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T1-055,08/16/2014,63.91,-151.9,461.5,0,,unknown,,,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T1-055,09/25/2005,63.91,-151.9,422.0,0,,unknown,37.0,,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T2-160,08/14/2014,63.91,-151.91,424.0,0,,unknown,69.0,,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T2-160,09/24/2005,63.91,-151.91,367.0,0,,unknown,120.0,120.0,Jorgenson_Kanevskiy_2022_Gosling
GOSL-T1-059,08/16/2014,63.91,-151.9,460.5,0,,unknown,52.0,,Jorgenson_Kanevskiy_2022_Gosling
