lat,lon,pf_observed,thaw_depth,obs_limit,site_id,source,date,pf_depth,method,quality_flag_date_assigned,quality_flag_obs_limit_assumed,quality_flag_upper_bound_presence
65.76492903,-156.490314,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.76519,-156.48964,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.75232,-156.50511,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.66093,-156.45087,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.66126,-156.44711,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.70265,-156.40977,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.61942,-156.48534,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.871322,-156.262828,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.78014,-156.43661,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.76521,-156.49049,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.715616,-156.363232,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.735889,-156.385817,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.67158396,-156.587617,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.66046,-156.43256,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.72552,-156.20992,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.711,-156.27473,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.77816699,-156.433695,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.777637,-156.433639,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.77756299,-156.433811,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.66131898,-156.433543,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.70153,-156.40353,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.70265,-156.40977,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.75232,-156.50511,1,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,True
65.67896,-156.61169,0,,96.0,,Koyukuk_2018,2018-07-08,,tp,True,True,False
65.72549402,-156.210077,1,37.0,100.0,,Koyukuk_2018,2018-07-08,37.0,tp,True,False,False
65.72553903,-156.210064,1,47.0,100.0,,Koyukuk_2018,2018-07-08,47.0,tp,True,False,False
65.72561497,-156.210127,1,47.5,100.0,,Koyukuk_2018,2018-07-08,47.5,tp,True,False,False
65.72566601,-156.210174,1,82.5,100.0,,Koyukuk_2018,2018-07-08,82.5,tp,True,False,False
65.72572997,-156.210218,1,81.0,100.0,,Koyukuk_2018,2018-07-08,81.0,tp,True,False,False
65.72584002,-156.210287,1,50.5,100.0,,Koyukuk_2018,2018-07-08,50.5,tp,True,False,False
65.72597397,-156.210285,1,48.0,100.0,,Koyukuk_2018,2018-07-08,48.0,tp,True,False,False
65.72611897,-156.210297,1,47.0,100.0,,Koyukuk_2018,2018-07-08,47.0,tp,True,False,False
65.72628904,-156.210301,1,96.0,100.0,,Koyukuk_2018,2018-07-08,96.0,tp,True,False,False
65.72644503,-156.210242,1,55.5,100.0,,Koyukuk_2018,2018-07-08,55.5,tp,True,False,False
65.72661501,-156.210251,1,68.5,100.0,,Koyukuk_2018,2018-07-08,68.5,tp,True,False,False
65.72666899,-156.210298,0,,100.0,,Koyukuk_2018,2018-07-08,,tp,True,False,False
65.72675499,-156.210342,0,,100.0,,Koyukuk_2018,2018-07-08,,tp,True,False,False
65.72681903,-156.210316,0,,100.0,,Koyukuk_2018,2018-07-08,,tp,True,False,False
65.72672197,-156.209941,0,,100.0,,Koyukuk_2018,2018-07-08,,tp,True,False,False
65.72660403,-156.210039,1,87.0,100.0,,Koyukuk_2018,2018-07-08,87.0,tp,True,False,False
65.726454,-156.209955,1,76.0,100.0,,Koyukuk_2018,2018-07-08,76.0,tp,True,False,False
65.72627597,-156.209834,1,49.5,100.0,,Koyukuk_2018,2018-07-08,49.5,tp,True,False,False
65.72612098,-156.209753,1,45.0,100.0,,Koyukuk_2018,2018-07-08,45.0,tp,True,False,False
